link_no,name,LRP_Start,Offset_Start,Chainage_Start,LRP_End,Offset_End,Chainage_End,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),road_name,lon_start,lat_start,lon_end,lat_end,lon_mid,lat_mid,mid_geometry,geometry
N712-1,Jhenaidaha bus terminal-Arappur (Int with N704),LRPS,0,0,LRP002,190,2.19,2.190,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0,N712,89.1904997,23.5427774,89.1757771,23.5533056,89.1831384,23.5480415,POINT (89.1831384 23.5480415),"LINESTRING (89.1904997 23.5427774, 89.1757771 23.5533056)"
N712-2,Arappur (Int with N704) - Int with R745,LRP002,190,2.19,LRP002,1530,3.53,1.340,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0,N712,89.1757771,23.5533056,89.1757771,23.5533056,89.1757771,23.5533056,POINT (89.1757771 23.5533056),"LINESTRING (89.1757771 23.5533056, 89.1757771 23.5533056)"
N712-3,Int with R745-Int with N703,LRP002,1530,3.53,LRP002,3150,5.15,1.620,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0,N712,89.1757771,23.5533056,89.1757771,23.5533056,89.1757771,23.5533056,POINT (89.1757771 23.5533056),"LINESTRING (89.1757771 23.5533056, 89.1757771 23.5533056)"
N712-4,Int with N703-Alhera bus Stand,LRP002,3150,5.15,LRPE,0,6.15,1.000,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0,N712,89.1757771,23.5533056,89.1696104,23.5230549,89.17269375000001,23.538180250000003,POINT (89.17269375000001 23.538180250000003),"LINESTRING (89.1757771 23.5533056, 89.1696104 23.5230549)"
N6-1,Kashinathpur-Chabbismile Biswa Road (Int. with Z6028),LRPS,0,0,LRP006,800,6.79,6.790,96.0,251.0,206.0,367.0,143.0,418.0,43.0,126.0,1187.0,824.0,429.0,531.0,2.0,3661.0,962.0,4623.0,4623.0,N6,89.6068889,23.9578056,89.549583,23.9664444,89.57823594999999,23.962125,POINT (89.57823594999999 23.962125),"LINESTRING (89.6068889 23.9578056, 89.549583 23.9664444)"
N6-2,Chabbismile Biswa Road (Int. with Z6028)-Chinakhora (Int. with Z6017),LRP006,800,6.79,LRP012,90,12.06,5.270,96.0,251.0,206.0,367.0,143.0,418.0,43.0,126.0,1187.0,824.0,429.0,531.0,2.0,3661.0,962.0,4623.0,4623.0,N6,89.549583,23.9664444,89.4962497,23.9615278,89.52291635,23.9639861,POINT (89.52291635 23.9639861),"LINESTRING (89.549583 23.9664444, 89.4962497 23.9615278)"
N6-3,Chinakhora(Int. with Z6017)-Madhpur (Int. with Z6026),LRP012,90,12.06,LRP021,1627,22.609,10.549,96.0,251.0,206.0,367.0,143.0,418.0,43.0,126.0,1187.0,824.0,429.0,531.0,2.0,3661.0,962.0,4623.0,4623.0,N6,89.4962497,23.9615278,89.4531389,24.0280549,89.47469430000001,23.99479135,POINT (89.47469430000001 23.99479135),"LINESTRING (89.4962497 23.9615278, 89.4531389 24.0280549)"
N6-4,Madhpur(Int. with Z6026)-Atikula  (Int. with Z6030),LRP021,1627,22.609,LRP024,1548,25.524,2.915,31.0,650.0,405.0,410.0,278.0,417.0,236.0,359.0,1571.0,921.0,834.0,654.0,0.0,5278.0,1488.0,6766.0,6766.0,N6,89.4531389,24.0280549,89.426166,24.0333049,89.43965245,24.030679900000003,POINT (89.43965245 24.030679900000003),"LINESTRING (89.4531389 24.0280549, 89.426166 24.0333049)"
N6-5,Atikula(Int. with Z6030)-Pabna (Central Bus Terminal) (Int.with N604),LRP024,1548,25.524,LRP041,820,41.755,16.231,31.0,650.0,405.0,410.0,278.0,417.0,236.0,359.0,1571.0,921.0,834.0,654.0,0.0,5278.0,1488.0,6766.0,6766.0,N6,89.426166,24.0333049,89.2660833,24.0088056,89.34612465000001,24.02105525,POINT (89.34612465000001 24.02105525),"LINESTRING (89.426166 24.0333049, 89.2660833 24.0088056)"
N6-6,Pabna  (Int.with N604)-Gaspara (Int.with N604),LRP041,820,41.755,LRP045,1320,46.269,4.514,31.0,650.0,405.0,410.0,278.0,417.0,236.0,359.0,1571.0,921.0,834.0,654.0,0.0,5278.0,1488.0,6766.0,6766.0,N6,89.2660833,24.0088056,89.2384997,24.0278049,89.25229150000001,24.018305249999997,POINT (89.25229150000001 24.018305249999997),"LINESTRING (89.2660833 24.0088056, 89.2384997 24.0278049)"
