road,id,model_type,length,condition,LRPName,name,chainage,lat,lon
N1,231,link,1281.7999999999877,0,LRP193-road,road N1,191.1262,22.701816503937,91.6149734608923
N1,232,bridge,4.2,A,LRP194,VANGGARPOL BOX CULVERT,192.408,22.6912517148148,91.6201690574074
N1,233,link,537.8000000000015,0,LRP194-road,road N1,192.41219999999998,22.6912517148148,91.6201690574074
N1,234,bridge,3.2,A,LRP195,BORO KAMALDA BOX CULVERT,192.95,22.6868697647058,91.6220385823529
N1,235,link,1195.8000000000122,0,LRP195-road,road N1,192.95319999999998,22.6868697647058,91.6220385823529
N1,236,bridge,6.0,A,LRP196,TARAT BOX CULVERT,194.149,22.6769772991044,91.6268169453731
N1,237,link,842.9999999999895,0,LRP196-road,road N1,194.155,22.6769772991044,91.6268169453731
N1,238,bridge,3.0,A,LRP197,Tarial Bazar Culvert,194.998,22.6699594391304,91.6293531695652
N1,239,link,1037.0000000000205,0,LRP197-road,road N1,195.00099999999998,22.6699594391304,91.6293531695652
N1,240,bridge,3.0,A,LRP198,SATU DURUAR HAT BOX CULVERT,196.038,22.6615956814814,91.6335257425926
N1,241,link,884.0000000000005,0,LRP198-road,road N1,196.041,22.6615956814814,91.6335257425926
N1,242,bridge,6.7,A,LRP199,RONA SORA CULVERT,196.925,22.6547124294117,91.6379261764705
N1,243,link,2347.299999999985,0,LRP199-road,road N1,196.9317,22.6547124294117,91.6379261764705
N1,244,bridge,3.0,A,LRP201,KACHAI PATH BOX CULVERT,199.279,22.636096590965,91.648209240657
N1,245,link,994.9999999999905,0,LRP201-road,road N1,199.28199999999998,22.636096590965,91.648209240657
N1,246,bridge,4.55,B,LRP202,EGOL PUR BOX CULVERT,200.277,22.6281666352941,91.6527578258312
N1,247,link,636.4500000000196,0,LRP202-road,road N1,200.28154999999998,22.6281666352941,91.6527578258312
N1,248,bridge,3.0,A,LRP203,SITAKUNDA SLAB,200.918,22.6230461711711,91.6554672531531
N1,249,link,1077.9999999999889,0,LRP203-road,road N1,200.921,22.6230461711711,91.6554672531531
N1,250,bridge,4.6,A,LRP204,PURBOMOHADAB PUR SLAB CULVERT(L),201.999,22.6149899686274,91.6602670503268
N1,251,link,431.400000000007,0,LRP204-road,road N1,202.0036,22.6149899686274,91.6602670503268
N1,252,bridge,3.0,A,LRP205,MADICAL MORE CULVERT,202.435,22.6117556741935,91.6625686731182
N1,253,link,1018.9999999999914,0,LRP205-road,road N1,202.438,22.6117556741935,91.6625686731182
N1,254,bridge,5.583333333333333,B,LRP206,DOKHIN MOHADEB PUR BOX CULVERT,203.457,22.6038394411764,91.6673745588235
