name,length,condition,betweenness,total_delay_time,vehicle_count
BALUKHALI,12.4,B,0.08066651564348461,61583.3058236918,26448
GOGU GONA,1.2,A,0.0789119008555692,0.0,26436
THANGKHALI BOX CULVERT,18.133333333333336,C,0.07715362489960391,117265.50438630593,26463
CHANG KHALI BRIDGE,12.44,C,0.0753916877755887,94121.51333729403,26446
DAIM PARA CULVERT,2.97,C,0.0736260894835236,42668.33954826881,26444
PALONG KHALI BAZAR (1),12.3,C,0.07185683002340859,111209.52170351155,26466
PALONG KHALI RCC GIDER BRIDGE,30.65,C,0.07008390939524368,87213.92722901503,26456
Karontoli Bridge,11.04,C,0.06830732759902888,83474.20943922357,26445
KATA KHALI RCC GIDER BRIDGE,8.375,D,0.06652708463476416,73185.96863416939,26462
ULIBANIA BOX CULVERT,3.1,C,0.06474318050244955,45835.523438209224,26450
BALU KHALI -2 BOX CULVERT,2.54,C,0.06295561520208504,40481.429807400425,26455
Wheke Kang Bridge,19.85,D,0.06116438873367062,181347.53090105613,26475
AMTULI BOX CULVERT,5.05,A,0.059369501097206304,0.0,26444
LAMBABIL MIDDLE PARA,1.84,A,0.05757095229269208,0.0,26443
LAMBA BIL BOX,9.900000000000002,C,0.05576874232012796,45073.5711096272,26453
KUTUB DIA PARA (1) CULVERT,3.075,A,0.053962871179513934,0.0,26445
KANGOR PARA MOZGID,4.08,A,0.05215333887085001,0.0,26448
KHANCHOR PARA (2),2.775,A,0.050340145394136185,0.0,26446
NAYAPARA,5.1,A,0.04852329074937246,0.0,26448
NINA BAZAR BOX CULVERT,16.05,A,0.046702774936558826,0.0,26447
NOYA BAZAR CULVERT,6.3,C,0.04487859795569529,42014.51170344457,26463
KHARANG KHAIL,16.45,C,0.04305075980678186,124575.71439576201,26471
MOULOVI BAZAR BOX CULVERT (1),2.8666666666666667,C,0.04121926048981852,47625.4402700535,26458
Nila-Hoab Rabg Bridge,32.1,C,0.039384100004805286,101130.68625677975,26464
NILLA BOX CULVERT (1),3.65,A,0.037545278351742144,0.0,26457
NILA - DORGA- PARA-(1) BOX,2.5,A,0.035702795530629106,0.0,26458
Chowdhory Para Bridge,24.2,C,0.03385665154146616,125612.42804735286,26487
Rongi-Khali Bridge,12.5,C,0.032006846384253315,98240.84627384375,26486
Ala Khali Kuna Para Bridge,29.9,C,0.03015338005899057,95238.50318886642,26487
LADA BAZAR BOX CULVERT,1.2,C,0.028296252565677922,41944.14938581063,26472
LADAPARA RCC GIDER BRIDGE,23.266666666666666,C,0.026435463904315372,122438.93772100013,26496
NAYA PARA BOX CULVERT,2.72,A,0.024571014074902923,0.0,26463
NOYA PARA (BRAC SCHOOL),17.383333333333336,A,0.022702903077440568,0.0,26468
Jadimura bridge,15.4,A,0.020831130911928314,0.0,26465
DONDO MIA BOX CULVERT,13.966666666666669,A,0.018955697578366158,0.0,26467
DONDO MIA CHAK POST BRIDGE,32.25,B,0.0170766030767541,51409.884192579906,26474
DOMDO MIA,13.250000000000002,B,0.015193847407092141,68337.11348041696,26485
Karumtoli Bridge,12.7,C,0.01330743056938028,135181.79040182478,26493
KAKUM TOLI CHACK BOX CULVERT,12.071428571428571,B,0.011417352563618515,62633.451446113315,26472
Baroy toli (1) Bridge,11.575,C,0.00952361338980685,129251.44238100736,26500
NAITOM PARA RCC GIDER BRIDGE,15.1,B,0.007626213047945284,76007.93431484197,26503
Naitong Para (3) Bridge,9.0,A,0.005725151538033816,0.0,26476
Eskahal Bridge,37.3,C,0.0038204288600724454,123377.73097434595,26506
BUS STAND TEKNAF BOX CULVERT,12.966666666666669,A,0.0019120450140611737,0.0,26472
PORISPUR BOX CULVERT,3.0,A,0.30719762756310365,0.0,68772
Brorechon,1.5,A,0.3067646944412028,0.0,68770
DEAB POR SLAB CULVERT,2.5,B,0.3063354224873518,71591.66738606029,68780
RAMPUR,3.75,C,0.30590981170155074,101126.61666563428,68785
BARUARA BRIDGE.,17.8,A,0.3054878620837996,0.0,68758
KONSENOGOR BOX CUL,3.0,A,0.3050668277580609,0.0,68760
CONSUNAGAR SLAB,0.9,A,0.3046457934323222,0.0,68758
HATAMARA BOX CULVERT.,3.1,A,0.3042247591065835,0.0,68744
KAKORTOLA CULVERT,6.0,B,0.3038064706568822,73631.99919332896,68766
BUGRABUS BOX CULVERT,5.7,A,0.3033890974991934,0.0,68751
BHIRALLA BOX CULVERT,3.0,A,0.3029717243415046,0.0,68749
BARRA BOX CULVERT,6.2,C,0.3025543511838158,108561.87763958533,68780
BARRA (3)BOX CULVERT,4.25,A,0.3021342321500896,0.0,68758
BARHA BOX CULVERT,2.9,B,0.3017131978243509,74598.90227938523,68772
SAIRCHOR BOX CULVERT,9.6,A,0.3012894176225748,0.0,68754
Bingla Bari Bridge,33.4,A,0.30086197625274874,0.0,68750
Companigong RCC Girder Bridge,113.8,A,0.30043361959091025,0.0,68750
Nagorpar Box Culvert,9.4,A,0.30000526292907176,0.0,68748
KATAKHALI BOX CULVERT,9.3,A,0.2995769062672332,0.0,68756
BAKON NAGAR BOX CULVERT,6.1,B,0.2991458037293573,70373.2966579081,68771
